Major,Mid-Career 10th Percentile,Mid-Career 25th Percentile,Mid-Career 50th Percentile,Mid-Career 75th Percentile,Mid-Career 90th Percentile,Starting Median Salary
Accounting,42200,13900,21000,30900,44000,46000
Aerospace Engineering,64300,17800,18900,26000,34000,57700
Agriculture,36300,15800,19800,24400,53700,42600
Anthropology,33800,11700,16000,27800,48700,36800
Architecture,50600,11600,14600,20200,39000,41600
Art History,28800,13400,22700,22500,37600,35800
Biology,36900,10500,17400,29700,40500,38800
Business Management,38800,12700,20600,29900,45000,43000
Chemical Engineering,71900,15400,19700,36000,51000,63200
Chemistry,45300,15400,19200,28100,40000,42600
Civil Engineering,63400,11700,15400,24500,33000,53900
Communications,37500,12200,20300,28800,44200,38100
Computer Engineering,66100,18000,20900,30000,27000,61400
Computer Science,56000,18900,20600,26500,32000,55900
Construction,56300,11800,20800,29100,53000,53700
Criminal Justice,32200,9400,14700,24400,26300,35000
Drama,36700,4600,15600,22200,73900,35900
Economics,50600,20000,28000,46400,65000,50100
Education,29300,8600,14100,21400,28600,34900
Electrical Engineering,69300,14500,19200,27000,38000,60900
English,33400,11400,19900,28500,39800,38000
Film,33900,11600,23000,31500,36000,37900
Finance,47200,14900,26200,39700,67000,47900
Forestry,41000,8300,13300,15600,32800,39100
Geography,40000,10000,15500,25300,41200,41200
Geology,45000,14600,19900,21500,55000,43500
Graphic Design,36000,9500,14300,21000,31200,35700
Health Care Administration,34600,11000,15000,18200,22200,38800
History,37000,12200,21800,32000,46000,39200
Hospitality & Tourism,35500,8100,13900,24400,42100,37800
Industrial Engineering,57100,15200,22400,37300,41000,57700
Information Technology (IT),44500,12200,18100,21900,32300,49100
Interior Design,35700,6900,10600,19300,34500,36100
International Relations,38200,17800,24900,30100,46000,40900
Journalism,38400,9900,18400,31000,47300,35600
MIS,45300,15200,21800,25700,38000,49200
Marketing,42100,13500,24000,39400,56000,40800
Math,45200,19000,28200,35600,55000,45400
Mechanical Engineering,63700,12500,17400,26400,43000,57900
Music,26700,13500,14800,33000,46000,35900
Nursing,47600,8800,10600,13900,17400,54200
Nutrition,33900,10600,10800,15200,28700,39900
Philosophy,35500,17300,28400,45800,41000,39900
Physician Assistant,66400,8800,16500,16300,16000,74300
Physics,56000,18200,23100,34700,46000,50300
Political Science,41200,14100,22900,35800,54000,40800
Psychology,31600,10500,18300,27100,39500,35900
Religion,29700,6800,15500,18900,25500,34100
Sociology,30700,9700,17800,23000,36800,36500
Spanish,31000,9000,13100,23700,19600,34000
