Major,Mid-Career 10th Percentile,Mid-Career 25th Percentile,Mid-Career 50th Percentile,Mid-Career 75th Percentile,Mid-Career 90th Percentile,Starting Median Salary
Accounting,42200.0,13900.0,21000.0,30900.0,44000.0,46000.0
Aerospace Engineering,64300.0,17800.0,18900.0,26000.0,34000.0,57700.0
Agriculture,36300.0,15800.0,19800.0,24400.0,53700.0,42600.0
Anthropology,33800.0,11700.0,16000.0,27800.0,48700.0,36800.0
Architecture,50600.0,11600.0,14600.0,20200.0,39000.0,41600.0
Art History,28800.0,13400.0,22700.0,22500.0,37600.0,35800.0
Biology,36900.0,10500.0,17400.0,29700.0,40500.0,38800.0
Business Management,38800.0,12700.0,20600.0,29900.0,45000.0,43000.0
Chemical Engineering,71900.0,15400.0,19700.0,36000.0,51000.0,63200.0
Chemistry,45300.0,15400.0,19200.0,28100.0,40000.0,42600.0
Civil Engineering,63400.0,11700.0,15400.0,24500.0,33000.0,53900.0
Communications,37500.0,12200.0,20300.0,28800.0,44200.0,38100.0
Computer Engineering,66100.0,18000.0,20900.0,30000.0,27000.0,61400.0
Computer Science,56000.0,18900.0,20600.0,26500.0,32000.0,55900.0
Construction,56300.0,11800.0,20800.0,29100.0,53000.0,53700.0
Criminal Justice,32200.0,9400.0,14700.0,24400.0,26300.0,35000.0
Drama,36700.0,4600.0,15600.0,22200.0,73900.0,35900.0
Economics,50600.0,20000.0,28000.0,46400.0,65000.0,50100.0
Education,29300.0,8600.0,14100.0,21400.0,28600.0,34900.0
Electrical Engineering,69300.0,14500.0,19200.0,27000.0,38000.0,60900.0
English,33400.0,11400.0,19900.0,28500.0,39800.0,38000.0
Film,33900.0,11600.0,23000.0,31500.0,36000.0,37900.0
Finance,47200.0,14900.0,26200.0,39700.0,67000.0,47900.0
Forestry,41000.0,8300.0,13300.0,15600.0,32800.0,39100.0
Geography,40000.0,10000.0,15500.0,25300.0,41200.0,41200.0
Geology,45000.0,14600.0,19900.0,21500.0,55000.0,43500.0
Graphic Design,36000.0,9500.0,14300.0,21000.0,31200.0,35700.0
Health Care Administration,34600.0,11000.0,15000.0,18200.0,22200.0,38800.0
History,37000.0,12200.0,21800.0,32000.0,46000.0,39200.0
Hospitality & Tourism,35500.0,8100.0,13900.0,24400.0,42100.0,37800.0
Industrial Engineering,57100.0,15200.0,22400.0,37300.0,41000.0,57700.0
Information Technology (IT),44500.0,12200.0,18100.0,21900.0,32300.0,49100.0
Interior Design,35700.0,6900.0,10600.0,19300.0,34500.0,36100.0
International Relations,38200.0,17800.0,24900.0,30100.0,46000.0,40900.0
Journalism,38400.0,9900.0,18400.0,31000.0,47300.0,35600.0
Management Information Systems (MIS),45300.0,15200.0,21800.0,25700.0,38000.0,49200.0
Marketing,42100.0,13500.0,24000.0,39400.0,56000.0,40800.0
Math,45200.0,19000.0,28200.0,35600.0,55000.0,45400.0
Mechanical Engineering,63700.0,12500.0,17400.0,26400.0,43000.0,57900.0
Music,26700.0,13500.0,14800.0,33000.0,46000.0,35900.0
Nursing,47600.0,8800.0,10600.0,13900.0,17400.0,54200.0
Nutrition,33900.0,10600.0,10800.0,15200.0,28700.0,39900.0
Philosophy,35500.0,17300.0,28400.0,45800.0,41000.0,39900.0
Physician Assistant,66400.0,8800.0,16500.0,16300.0,16000.0,74300.0
Physics,56000.0,18200.0,23100.0,34700.0,46000.0,50300.0
Political Science,41200.0,14100.0,22900.0,35800.0,54000.0,40800.0
Psychology,31600.0,10500.0,18300.0,27100.0,39500.0,35900.0
Religion,29700.0,6800.0,15500.0,18900.0,25500.0,34100.0
Sociology,30700.0,9700.0,17800.0,23000.0,36800.0,36500.0
Spanish,31000.0,9000.0,13100.0,23700.0,19600.0,34000.0
