State,Mean
DC,95125.0
NH,106150.0
UT,74820.0
WV,78100.0
NY,88450.0
MN,83350.0
GA,89400.0
LA,86633.33333333333
TX,80461.53846153847
MS,73133.33333333333
IL,88330.0
IA,81700.0
NM,84833.33333333333
OK,79150.0
RI,88800.0
NJ,97433.33333333333
KS,72933.33333333333
ID,74966.66666666667
OH,77354.54545454546
HI,76000.0
MA,94626.31578947368
VT,88450.0
MT,66666.66666666667
MI,74483.33333333333
MO,73916.66666666667
FL,70600.0
NV,77250.0
CA,93132.14285714286
SC,78850.0
ME,85000.0
KY,78233.33333333333
WY,78700.0
NC,79600.0
AR,73533.33333333333
AZ,85100.0
IN,83633.33333333333
ND,79200.0
SD,70266.66666666667
DE,84500.0
NE,76750.0
MD,86400.0
AL,79725.0
AK,72600.0
CO,84571.42857142857
WI,72466.66666666667
TN,70985.71428571429
WA,77844.44444444444
CT,91233.33333333333
VA,86350.0
PA,91205.0
OR,77260.0
