State,Mean,
DC,95125,
NH,106150,
UT,74820,
WV,78100,
NY,88450,
MN,83350,
GA,89400,
LA,86633,
TX,80462,
MS,73133,
IL,88330,
IA,81700,
NM,84833,
OK,79150,
RI,88800,
NJ,97433,
KS,72933,
ID,74967,
OH,77355,
HI,76000,
MA,94626,
VT,88450,
MT,66667,
MI,74483,
MO,73917,
FL,70600,
NV,77250,
CA,93132,
SC,78850,
ME,85000,
KY,78233,
WY,78700,
NC,79600,
AR,73533,
AZ,85100,
IN,83633,
ND,79200,
SD,70267,
DE,84500,
NE,76750,
MD,86400,
AL,79725,
AK,72600,
CO,84571,
WI,72467,
TN,70986,
WA,77844,
CT,91233,
VA,86350,
PA,91205,
OR,77260,
